regulation_code,regulation_name,hs_parent_code,hs_parent_name,hs_code,hs_name,fao_code,fao_name,bp,fao_parent_code,fao_commodity_code,in_mapping_table,match
4104,"Tanned or crust hides and skins of cattle, without hair on, whether or not split, but not further prepared",4104,"Tanned or crust hides and skins of bovine (including buffalo) or equine animals, without hair on, whether or not split, but not further prepared",410421,"Leather; bovine, without hair on, vegetable pre-tanned, (but not further prepared), whether or not split, excluding leather of heading no. 4108 and 4109",NA,NA,NA,NA,NA,0,missing
4104,"Tanned or crust hides and skins of cattle, without hair on, whether or not split, but not further prepared",4104,"Tanned or crust hides and skins of bovine (including buffalo) or equine animals, without hair on, whether or not split, but not further prepared",410422,"Leather; bovine, without hair on, pre-tanned, (not vegetable pre-tanned), but not further prepared, whether or not split, excluding leather of heading no. 4108 and 4109",NA,NA,NA,NA,NA,0,missing
4104,"Tanned or crust hides and skins of cattle, without hair on, whether or not split, but not further prepared",4104,"Tanned or crust hides and skins of bovine (including buffalo) or equine animals, without hair on, whether or not split, but not further prepared",410429,"Leather; bovine and equine n.e.s. in heading no. 4104, without hair on, tanned or retanned but not further prepared, whether or not split, excluding leather of heading no. 4108 and 4109",NA,NA,NA,NA,NA,0,missing
4104,"Tanned or crust hides and skins of cattle, without hair on, whether or not split, but not further prepared",4104,"Tanned or crust hides and skins of bovine (including buffalo) or equine animals, without hair on, whether or not split, but not further prepared",410431,"Leather; bovine and equine, without hair on, parchment-dressed or prepared after tanning, full grains and grain splits, excluding leather of heading no. 4108 and 4109",NA,NA,NA,NA,NA,0,missing
4104,"Tanned or crust hides and skins of cattle, without hair on, whether or not split, but not further prepared",4104,"Tanned or crust hides and skins of bovine (including buffalo) or equine animals, without hair on, whether or not split, but not further prepared",410439,"Leather; bovine and equine, without hair on,( excluding full grains and grain splits), parchment-dressed or prepared after tanning excluding leather of heading no. 4108 and 4109",NA,NA,NA,NA,NA,0,missing
4104,"Tanned or crust hides and skins of cattle, without hair on, whether or not split, but not further prepared",4104,"Tanned or crust hides and skins of bovine (including buffalo) or equine animals, without hair on, whether or not split, but not further prepared",410441,"Tanned or crust hides and skins; bovine or equine, without hair on, in the dry state (crust), full grains, unsplit; grain splits",NA,NA,NA,NA,NA,0,missing
4104,"Tanned or crust hides and skins of cattle, without hair on, whether or not split, but not further prepared",4104,"Tanned or crust hides and skins of bovine (including buffalo) or equine animals, without hair on, whether or not split, but not further prepared",410449,"Tanned or crust hides and skins; bovine or equine, without hair on, in the dry state (crust), (other than full grains, unsplit; grain splits)",NA,NA,NA,NA,NA,0,missing
4107,"Leather of cattle, further prepared after tanning or crusting, including parchment-dressed leather, without hair on, whether or not split",4107,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of bovine (including buffalo) or equine animals, without hair on, whether or not split, other than leather of heading 41.14",410710,"Leather; of swine, without hair on, excluding leather of heading no. 4108 or 4109",NA,NA,NA,NA,NA,0,missing
4107,"Leather of cattle, further prepared after tanning or crusting, including parchment-dressed leather, without hair on, whether or not split",4107,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of bovine (including buffalo) or equine animals, without hair on, whether or not split, other than leather of heading 41.14",410711,"Leather; further prepared after tanning or crusting, including parchment-dressed leather, of bovine (including buffalo) or equine animals, without hair on, other than leather of heading 41.14, whole hides and skins, full grain, unsplit",NA,NA,NA,NA,NA,0,missing
4107,"Leather of cattle, further prepared after tanning or crusting, including parchment-dressed leather, without hair on, whether or not split",4107,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of bovine (including buffalo) or equine animals, without hair on, whether or not split, other than leather of heading 41.14",410712,"Leather; further prepared after tanning or crusting, including parchment-dressed leather, of bovine (including buffalo) or equine animals, without hair on, other than leather of heading 41.14, whole hides and skins, grain splits",NA,NA,NA,NA,NA,0,missing
4107,"Leather of cattle, further prepared after tanning or crusting, including parchment-dressed leather, without hair on, whether or not split",4107,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of bovine (including buffalo) or equine animals, without hair on, whether or not split, other than leather of heading 41.14",410719,"Leather; further prepared after tanning or crusting, including parchment-dressed, of bovine (including buffalo) or equine animals, without hair on, split or not, other than leather of heading 41.14, (other than grain splits and full grains, unsplit)",NA,NA,NA,NA,NA,0,missing
4107,"Leather of cattle, further prepared after tanning or crusting, including parchment-dressed leather, without hair on, whether or not split",4107,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of bovine (including buffalo) or equine animals, without hair on, whether or not split, other than leather of heading 41.14",410721,"Leather; of reptiles, without hair on, vegetable pre-tanned, excluding leather of heading no. 4108 or 4109",NA,NA,NA,NA,NA,0,missing
4107,"Leather of cattle, further prepared after tanning or crusting, including parchment-dressed leather, without hair on, whether or not split",4107,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of bovine (including buffalo) or equine animals, without hair on, whether or not split, other than leather of heading 41.14",410729,"Leather; of reptiles, without hair on, other than vegetable pre-tanned, excluding leather of heading no. 4108 or 4109",NA,NA,NA,NA,NA,0,missing
4107,"Leather of cattle, further prepared after tanning or crusting, including parchment-dressed leather, without hair on, whether or not split",4107,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of bovine (including buffalo) or equine animals, without hair on, whether or not split, other than leather of heading 41.14",410790,"Leather; of animals n.e.s. in chapter 41, without hair on, excluding leather of heading no. 4108 or 4109",NA,NA,NA,NA,NA,0,missing
4107,"Leather of cattle, further prepared after tanning or crusting, including parchment-dressed leather, without hair on, whether or not split",4107,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of bovine (including buffalo) or equine animals, without hair on, whether or not split, other than leather of heading 41.14",410791,"Leather; further prepared after tanning or crusting, including parchment-dressed, of bovine (including buffalo) or equine animals, without hair on, other than leather of heading 41.14, not whole hides and skins, but including sides, full grain, unsplit",NA,NA,NA,NA,NA,0,missing
4107,"Leather of cattle, further prepared after tanning or crusting, including parchment-dressed leather, without hair on, whether or not split",4107,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of bovine (including buffalo) or equine animals, without hair on, whether or not split, other than leather of heading 41.14",410792,"Leather; further prepared after tanning or crusting, including parchment-dressed, of bovine (including buffalo) or equine animals, without hair on, other than leather of heading 41.14, not whole hides and skins, but including sides, grain splits",NA,NA,NA,NA,NA,0,missing
4107,"Leather of cattle, further prepared after tanning or crusting, including parchment-dressed leather, without hair on, whether or not split",4107,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of bovine (including buffalo) or equine animals, without hair on, whether or not split, other than leather of heading 41.14",410799,"Leather; further prepared after tanning or crusting, incl. parchment-dressed, of bovine (including buffalo) or equine animals, no hair, excluding leather of heading 41.14, and whole hides and skins, and sides, (full grains, unsplit and grain splits)",NA,NA,NA,NA,NA,0,missing
18010000,"Cocoa beans, whole or broken, raw or roasted",1801,"Cocoa beans; whole or broken, raw or roasted",180100,"Cocoa beans; whole or broken, raw or roasted",661,Cocoa beans,0,661,661,1,total
18020000,"Cocoa shells, husks, skins and other cocoa waste",1802,"Cocoa; shells, husks, skins and other cocoa waste",180200,"Cocoa; shells, husks, skins and other cocoa waste",663,Cocoa husks and shells,0,661,661,1,total
1803,"Cocoa paste, whether or not defatted",1803,Cocoa; paste; whether or not defatted,180310,"Cocoa; paste, not defatted",662,Cocoa paste not defatted,0,661,661,1,total
1803,"Cocoa paste, whether or not defatted",1803,Cocoa; paste; whether or not defatted,180320,"Cocoa; paste, wholly or partly defatted",665,Cocoa powder and cake,0,662,661,1,partial
18040000,"Cocoa butter, fat and oil",1804,"Cocoa; butter, fat and oil",180400,"Cocoa; butter, fat and oil",664,Cocoa butter; fat and oil,0,662,661,1,total
18050000,"Cocoa powder, not containing added sugar or other sweetening matter",1805,"Cocoa; powder, not containing added sugar or other sweetening matter",180500,"Cocoa; powder, not containing added sugar or other sweetening matter",665,Cocoa powder and cake,0,662,661,1,partial
1806,Chocolate and other food preparations containing cocoa,1806,Chocolate and other food preparations containing cocoa,180610,"Cocoa; powder, containing added sugar or other sweetening matter",666,Chocolate products nes,0,665,661,1,partial
1806,Chocolate and other food preparations containing cocoa,1806,Chocolate and other food preparations containing cocoa,180620,"Chocolate & other food preparations containing cocoa; in blocks, slabs or bars weighing more than 2kg or in liquid, paste, powder, granular or other bulk form in containers or immediate packings, content exceeding 2kg",666,Chocolate products nes,0,665,661,1,partial
1806,Chocolate and other food preparations containing cocoa,1806,Chocolate and other food preparations containing cocoa,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",666,Chocolate products nes,0,665,661,1,partial
1806,Chocolate and other food preparations containing cocoa,1806,Chocolate and other food preparations containing cocoa,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",666,Chocolate products nes,0,665,661,1,partial
1806,Chocolate and other food preparations containing cocoa,1806,Chocolate and other food preparations containing cocoa,180690,Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18,666,Chocolate products nes,0,665,661,1,partial
